fname,spcode,seq,utter,stime,etime,splabel,key_phrase
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,1,"Alright, thank you. We'll start that the meeting is being recorded. So let's start. Please tell me your title and describe the responsibilities you have briefly.",0,12,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,2,So currently I manufacture prevention and control specialist nurse.,14,18,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,3,So.,18,18,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,4,"In a nutshell, my role is to help prevent patients from picking up a Hospice required inspection from MRSA. C. Bloodstream infections and to help staff while staff are looking after patients to prevent them from picking up any sort of infection from the hospital. So for example, currently we've got whole code going around to ensuring that stuff. Know what they need to do to protect themselves while they're looking after patients here.",21,60,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,5,Alright. So how do your responsibilities relate to IV therapy?,61,66,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,6,"So we come in with the we do a lot of state surveillance or any sort of bacteremia that we get. We have to investigate to see where it came from. Is it line related? So we go and actually have a look. Did this patient have any lines? Were they having any IV medication administered through that line and would do audits on the water as well to see the type of lines that these patients have in and if it's required or not, and the actual what you call it the actual the weather lion looks really like the care of it and the maintenance of it. If we pick up any issues, we ensure that we educate staff on the maintenance of that as well.",67,119,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,7,Alright. Now describe the facility where you work.,121,126,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,8,"It's an acute the healthcare settings in a hospital. It would probably take travel 500 beds, I think.",129,144,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,9,Okay.,145,146,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,10,Yeah. So it take medical and surgical patients. Yeah.,147,153,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,11,Okay. Now what type of connectors if any are used and you are a hospital in connection with IV catheters.,154,170,moderator,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,A,12,"So we have single or we use single or double Lumen. We have bungs as well, but we advise against using those because of the manipulation of the line.",174,188,respondent,none
2033_Julie_ Infection Control _Record No. UK-IC-01_AH_ W-TDI _UK_04102021 1415Hrs EST,B,13,So.,188,188,moderator,none
